btcopening,btcclosing,btcquantity,btcamount,daxopening,daxclosing,daxlowest,daxhighest,djiopening,djiclosing,djilowest,djihighest,hsiopening,hsiclosing,hsilowest,hsihighest,year,month,day,target
885.0,921.84715,76.61906388,219.0,23.26070213317871,23.26070213317871,23.26070213317871,23.26070213317871,17833.0,17833.0,17833.0,17833.0,23857.80078125,23857.80078125,23857.80078125,23857.80078125,2015,1,2,0
806.00001,788.0,77.53631213,196.0,22.98242522867336,22.120027542114258,22.120027542114258,22.98242522867336,17501.69921875,17501.69921875,17501.69921875,17501.69921875,23721.30078125,23721.30078125,23721.30078125,23721.30078125,2015,1,5,1
788.00002,869.96999,75.6426199,277.0,22.120027542114258,22.120027542114258,22.120027542114258,22.120027542114258,17371.599609375,17371.599609375,17371.599609375,17371.599609375,23485.400390625,23485.400390625,23485.400390625,23485.400390625,2015,1,6,0
869.96999,894.37342,128.78258235,364.0,22.120027542114258,22.120027542114258,22.120027542114258,22.120027542114258,17584.5,17584.5,17584.5,17584.5,23681.30078125,23681.30078125,23681.30078125,23681.30078125,2015,1,7,0
912.07042,905.98343,117.25240853,326.0,22.617903463542635,22.742372512817383,22.617903463542635,22.742372512817383,17907.900390625,17907.900390625,17907.900390625,17907.900390625,23835.5,23835.5,23835.5,23835.5,2015,1,8,1
891.47246,877.15778,80.33814135,241.0,22.742372512817383,22.742372512817383,22.742372512817383,22.742372512817383,17737.400390625,17737.400390625,17737.400390625,17737.400390625,23919.900390625,23919.900390625,23919.900390625,23919.900390625,2015,1,9,1
857.62425,800.0,101.56153647,250.0,23.115785726437498,22.626798629760742,22.484547776336086,23.115785726437498,17640.80078125,17640.80078125,17640.80078125,17640.80078125,24026.5,24026.5,24026.5,24026.5,2015,1,12,1
827.99998,640.08056,194.44307104,488.0,22.9557526916986,22.69792366027832,22.69792366027832,22.975311632579807,17613.69921875,17613.69921875,17613.69921875,17613.69921875,24216.0,24216.0,24216.0,24216.0,2015,1,13,1
640.08056,550.0,222.74698441,652.0,22.69792366027832,22.69792366027832,22.69792366027832,22.69792366027832,17427.099609375,17427.099609375,17427.099609375,17427.099609375,24112.599609375,24112.599609375,24112.599609375,24112.599609375,2015,1,14,1
553.09477,659.99,230.57089634,646.0,23.075776507243322,22.890850067138672,22.890850067138672,23.075776507243322,17320.69921875,17320.69921875,17320.69921875,17320.69921875,24350.900390625,24350.900390625,24350.900390625,24350.900390625,2015,1,15,0
642.10641,650.0,190.9792203,467.0,22.994873004787127,23.222475051879883,22.994873004787127,23.222475051879886,17511.599609375,17511.599609375,17511.599609375,17511.599609375,24103.5,24103.5,24103.5,24103.5,2015,1,16,0
624.11914,602.0,248.03032421,343.0,23.30248790038333,23.273149490356445,23.26603745685244,23.30248790038333,17515.19921875,17515.19921875,17515.19921875,17515.19921875,23951.19921875,23951.19921875,23951.19921875,23951.19921875,2015,1,20,1
612.65342,630.0,97.25243025,241.0,23.29360127925349,23.197580337524414,23.19758033752441,23.29360127925349,17554.30078125,17554.30078125,17554.30078125,17554.30078125,24352.599609375,24352.599609375,24352.599609375,24352.599609375,2015,1,21,0
630.0,637.99996,154.30260215,241.0,23.302489529718404,23.400287628173828,23.274039697949316,23.50697661701284,17814.0,17814.0,17814.0,17814.0,24522.599609375,24522.599609375,24522.599609375,24522.599609375,2015,1,22,0
637.99992,631.0501,68.20669461,117.0,23.889275633691252,23.320270538330078,23.320270538330075,23.889275633691252,17672.599609375,17672.599609375,17672.599609375,17672.599609375,24850.400390625,24850.400390625,24850.400390625,24850.400390625,2015,1,23,1
745.9997,732.1756,192.63889547,393.0,23.524756356403163,23.87149429321289,23.524756356403163,23.92483793896672,17678.69921875,17678.69921875,17678.69921875,17678.69921875,24909.900390625,24909.900390625,24909.900390625,24909.900390625,2015,1,26,1
732.3555,724.60603,193.32753501,387.0,23.702568979710062,23.7105712890625,23.630554978593317,23.799476793349328,17387.19921875,17387.19921875,17387.19921875,17387.19921875,24807.30078125,24807.30078125,24807.30078125,24807.30078125,2015,1,27,1
747.12089,659.99999,272.46843886,464.0,23.71946779359242,23.56032371520996,23.56032371520996,23.849271759834252,17191.400390625,17191.400390625,17191.400390625,17191.400390625,2300.0,2300.0,2300.0,2300.0,2015,1,28,1
660.0,671.99998,145.75992348,262.0,23.542537440872856,23.98084831237793,23.542537440872856,24.00485354577481,17416.80078125,17416.80078125,17416.80078125,17416.80078125,24595.80078125,24595.80078125,24595.80078125,24595.80078125,2015,1,29,0
642.03443,669.68269,100.19318648,213.0,23.98707634155866,23.56032371520996,23.4776399487168,23.98707634155866,17164.900390625,17164.900390625,17164.900390625,17164.900390625,24507.099609375,24507.099609375,24507.099609375,24507.099609375,2015,1,30,0
662.0,688.60086,87.10158285,196.0,24.05819546297635,24.12042999267578,23.87149187387806,24.138211771379545,17361.0,17361.0,17361.0,17361.0,0.2750000059604645,0.2460000067949295,0.22200000286102295,0.2750000059604645,2015,2,2,0
667.27508,670.78233,147.64929726,287.0,24.796122496787557,24.5987491607666,24.35158820063424,24.796122496787557,17666.400390625,17666.400390625,17666.400390625,17666.400390625,24554.80078125,24554.80078125,24554.80078125,24554.80078125,2015,2,3,0
667.03366,667.99998,122.77933674,196.0,24.60052903591697,24.129322052001953,24.031525655916827,24.60052903591697,17673.0,17673.0,17673.0,17673.0,24679.80078125,24679.80078125,24679.80078125,24679.80078125,2015,2,4,0
658.00005,635.17963,123.53636834,193.0,24.182665882486962,24.502729415893555,24.182665882486962,24.713439929504673,17884.900390625,17884.900390625,17884.900390625,17884.900390625,24765.5,24765.5,24765.5,24765.5,2015,2,5,1
642.668,658.39,121.75530787,219.0,24.32491519216958,23.853708267211914,23.76657993230955,24.32491519216958,17824.30078125,17824.30078125,17824.30078125,17824.30078125,24679.400390625,24679.400390625,24679.400390625,24679.400390625,2015,2,6,0
659.84761,650.19526,164.61570527,263.0,23.400287180133777,23.604772567749023,23.400287180133777,23.649227018815765,17729.19921875,17729.19921875,17729.19921875,17729.19921875,24521.0,24521.0,24521.0,24521.0,2015,2,9,1
650.19526,670.0,71.01183555,175.0,23.79947656257322,23.827037811279297,23.613661550685116,23.83326126434958,17868.80078125,17868.80078125,17868.80078125,17868.80078125,0.2759999930858612,0.27000001072883606,0.2590000033378601,0.2759999930858612,2015,2,10,0
657.08903999,669.63193,116.07633969,196.0,23.78969808289819,23.696346282958984,23.696346282958984,23.78969808289819,17862.099609375,17862.099609375,17862.099609375,17862.099609375,24315.0,24315.0,24315.0,24315.0,2015,2,11,0
668.99999,664.30001,76.29440572,151.0,23.995961106084327,24.476058959960938,23.987070216668414,24.476058959960938,17972.400390625,17972.400390625,17972.400390625,17972.400390625,24422.19921875,24422.19921875,24422.19921875,24422.19921875,2015,2,12,1
664.29999999,697.99,130.18080026,181.0,24.893922750924357,24.49384117126465,24.387153880531336,24.893922750924357,18019.30078125,18019.30078125,18019.30078125,18019.30078125,24682.5,24682.5,24682.5,24682.5,2015,2,13,0
687.05362,700.73813,11.99982037,71.0,24.787233149525868,24.336475372314453,24.18266789358552,24.787233149525868,18047.599609375,18047.599609375,18047.599609375,18047.599609375,2100.0,2100.0,2100.0,2100.0,2015,2,17,0
701.09913,688.0,105.92453044,215.0,24.351588897155047,24.37826156616211,24.262683391992457,24.37826156616211,18029.80078125,18029.80078125,18029.80078125,18029.80078125,2100.0,2100.0,2100.0,2100.0,2015,2,18,1
688.0,714.0,91.78698566,146.0,24.305359836657313,24.41382598876953,24.305359836657313,24.511624089618707,17985.80078125,17985.80078125,17985.80078125,17985.80078125,0.2930000126361847,0.28999999165534973,0.28999999165534973,0.29499998688697815,2015,2,19,0
713.99999,720.0,123.92938043,157.0,24.244902411301357,24.769453048706055,24.244902411301357,24.844134489469326,18140.400390625,18140.400390625,18140.400390625,18140.400390625,20.530000686645508,20.530000686645508,20.530000686645508,20.530000686645508,2015,2,20,0
688.00001,705.00019,111.27256414,221.0,24.92059623956626,24.662765502929688,24.591640074851316,24.92059623956626,18116.80078125,18116.80078125,18116.80078125,18116.80078125,24836.80078125,24836.80078125,24836.80078125,24836.80078125,2015,2,23,0
715.93999,710.8,70.12071499,121.0,24.76945093821535,24.86902618408203,24.600527434860282,24.911701773957386,18209.19921875,18209.19921875,18209.19921875,18209.19921875,24750.099609375,24750.099609375,24750.099609375,24750.099609375,2015,2,24,1
710.8,713.95,112.50121927,160.0,24.876140718575524,24.920595169067383,24.76056253882448,24.920595169067383,18224.599609375,18224.599609375,18224.599609375,18224.599609375,24778.30078125,24778.30078125,24778.30078125,24778.30078125,2015,2,25,0
705.0,714.0,96.28205471,116.0,24.805014969920332,24.753448486328125,24.72499865584286,24.849469419832193,18214.400390625,18214.400390625,18214.400390625,18214.400390625,2400.0,2400.0,2400.0,2400.0,2015,2,26,0
714.0,736.0,117.16698654,173.0,24.90281055758829,24.91259002685547,24.712549261795132,24.99171775269996,18132.69921875,18132.69921875,18132.69921875,18132.69921875,24823.30078125,24823.30078125,24823.30078125,24823.30078125,2015,2,27,0
737.0,753.0122,204.59596408,239.0,25.391800296275722,25.00950050354004,24.701883847955365,25.391800296275722,18288.599609375,18288.599609375,18288.599609375,18288.599609375,24887.400390625,24887.400390625,24887.400390625,24887.400390625,2015,3,2,0
753.0122,780.0084,221.31258139,326.0,25.418473384684145,24.716108322143555,24.662764676812596,25.418473384684145,18203.400390625,18203.400390625,18203.400390625,18203.400390625,24702.80078125,24702.80078125,24702.80078125,24702.80078125,2015,3,3,0
822.61659,805.0,143.01645889,241.0,24.520513825420764,24.716108322143555,24.396933334682963,24.74278099269099,18096.900390625,18096.900390625,18096.900390625,18096.900390625,24465.400390625,24465.400390625,24465.400390625,24465.400390625,2015,3,4,1
805.0,808.99999,134.0095875,166.0,24.821015796399777,24.72499656677246,24.68943470561155,24.849467320244983,18135.69921875,18135.69921875,18135.69921875,18135.69921875,24193.0,24193.0,24193.0,24193.0,2015,3,5,0
793.08258,813.5,113.41049128,129.0,24.929485208850394,24.44049644470215,24.360480132309956,24.929485208850394,17856.80078125,17856.80078125,17856.80078125,17856.80078125,24164.0,24164.0,24164.0,24164.0,2015,3,6,0
845.01,898.99999,105.10072663,230.0,25.06284740922067,24.636093139648438,24.484953086884843,25.06284740922067,17995.69921875,17995.69921875,17995.69921875,17995.69921875,24123.099609375,24123.099609375,24123.099609375,24123.099609375,2015,3,9,0
898.99762,898.98,125.87105384,273.0,24.61830744790014,24.10264778137207,24.040413257168204,24.61830744790014,17662.900390625,17662.900390625,17662.900390625,17662.900390625,23897.0,23897.0,23897.0,23897.0,2015,3,10,1
898.98,899.0,126.23774505,198.0,24.378258488033712,24.369367599487305,24.21822588572552,24.48494745482704,17635.400390625,17635.400390625,17635.400390625,17635.400390625,23718.0,23718.0,23718.0,23718.0,2015,3,11,0
898.90006,940.0,136.03139662,273.0,24.929487130046557,24.662765502929688,24.40493646205708,24.929487130046557,17895.19921875,17895.19921875,17895.19921875,17895.19921875,23798.0,23798.0,23798.0,23798.0,2015,3,12,0
940.0,959.99999,219.2284115,415.0,24.71610833868362,24.49384117126465,24.182668493489224,24.71610833868362,17749.30078125,17749.30078125,17749.30078125,17749.30078125,23823.19921875,23823.19921875,23823.19921875,23823.19921875,2015,3,13,0
969.86919,958.0,95.92471241,185.0,24.73388823702973,25.249547958374023,24.73388823702973,25.294002405933572,17977.400390625,17977.400390625,17977.400390625,17977.400390625,23949.599609375,23949.599609375,23949.599609375,23949.599609375,2015,3,16,1
958.0,967.99999,105.62207358,235.0,25.31178336939423,24.840578079223633,24.76145034685067,25.31178336939423,17849.099609375,17849.099609375,17849.099609375,17849.099609375,23901.5,23901.5,23901.5,23901.5,2015,3,17,0
957.07476,860.53464,165.98938974,352.0,24.831690167386885,25.20509910583496,24.680548413830188,25.20509910583496,18076.19921875,18076.19921875,18076.19921875,18076.19921875,24120.099609375,24120.099609375,24120.099609375,24120.099609375,2015,3,18,1
859.98999,889.94111,162.49918219,234.0,25.222878663948613,24.698328018188477,24.600529922813703,25.222878663948613,17959.0,17959.0,17959.0,17959.0,24468.900390625,24468.900390625,24468.900390625,24468.900390625,2015,3,19,0
880.06718,891.1,79.74651054,156.0,25.13396978661433,25.47181510925293,25.13396978661433,25.542940529585465,18127.69921875,18127.69921875,18127.69921875,18127.69921875,24375.19921875,24375.19921875,24375.19921875,24375.19921875,2015,3,20,0
878.0,875.99948,156.52698817,196.0,25.471818494033467,25.454036712646484,25.267333095375196,25.471818494033467,18116.0,18116.0,18116.0,18116.0,0.20999999344348907,0.17900000512599945,0.1720000058412552,0.20999999344348907,2015,3,23,1
867.72,836.82573,186.52004664,327.0,25.338457823006408,25.551834106445312,25.338457823006408,25.631850424705398,18011.099609375,18011.099609375,18011.099609375,18011.099609375,24399.599609375,24399.599609375,24399.599609375,24399.599609375,2015,3,24,1
811.11001,805.00015,117.79425393,274.0,25.943022917868163,25.418472290039062,25.365128647005342,25.943022917868163,17718.5,17718.5,17718.5,17718.5,24528.19921875,24528.19921875,24528.19921875,24528.19921875,2015,3,25,1
803.30223,820.36767,80.35560726,215.0,25.33845633124946,25.258440017700195,24.956156543350495,25.33845633124946,17678.19921875,17678.19921875,17678.19921875,17678.19921875,24497.099609375,24497.099609375,24497.099609375,24497.099609375,2015,3,26,0
828.25679,834.39464,110.45962055,146.0,25.258438974732748,25.294002532958984,25.097517774015742,25.329564395421432,17712.69921875,17712.69921875,17712.69921875,17712.69921875,24486.19921875,24486.19921875,24486.19921875,24486.19921875,2015,3,27,0
